type,list,answer
musical instruments,"['persimmon', 'trombone', 'accordion', 'bengali', 'melon', 'peach']",2
languages,"['bengali', 'tongs', 'hungarian', 'oboe', 'hebrew']",3
animals,"['bassoon', 'strainer', 'kangaroo', 'lion', 'rice paddle']",2
fruits,"['melon', 'whisk', 'pear', 'banana', 'orange']",4
vehicles,"['koala', 'rambutan', 'truck', 'sedan', 'spaceship']",3
musical instruments,"['convertible', 'korean', 'slotted spoon', 'hebrew', 'xylophone']",1
vehicles,"['strainer', 'yoruba', 'greek', 'mandolin']",0
animals,"['masher', 'arabic', 'apricot', 'rice paddle']",0
languages,"['sitar', 'bengali', 'oboe', 'vietnamese', 'turkish']",3
fruits,"['slotted spoon', 'papaya', 'apple', 'thai', 'buffalo', 'piccolo', 'plum', 'mango']",4
musical instruments,"['trombone', 'lute', 'penguin', 'marimba', 'paring knife', 'xylophone', 'jaguar']",4
languages,"['czech', 'swahili', 'cherry', 'pear']",2
fruits,"['thai', 'mango', 'cherry', 'plum']",3
utensils,"['vietnamese', 'clarinet', 'van', 'hungarian']",0
musical instruments,"['walrus', 'sitar', 'rambutan', 'bus', 'violin']",2
animals,"['slotted spoon', 'mango', 'giraffe', 'jaguar', 'sloth', 'leopard']",4
animals,"['cello', 'panther', 'alpaca', 'norwegian', 'peeler']",2
languages,"['czech', 'thai', 'ambulance', 'jaguar', 'panther', 'mango']",2
vehicles,"['gorilla', 'kiwi', 'ferry', 'lychee', 'melon']",1
languages,"['alpaca', 'colander', 'swahili', 'melon', 'tagalog', 'gondola']",2
fruits,"['cello', 'banana', 'apricot', 'meat tenderizer']",2
languages,"['sloth', 'walrus', 'trumpet', 'greek']",1
languages,"['tuba', 'norwegian', 'grater', 'arabic', 'swahili', 'subway', 'badger']",3
utensils,"['didgeridoo', 'rice paddle', 'peeler', 'otter', 'skimmer']",3
fruits,"['guava', 'plum', 'leopard', 'pear', 'orange']",4
utensils,"['didgeridoo', 'subway', 'panther', 'trumpet']",0
animals,"['tram', 'persimmon', 'vietnamese', 'minivan']",0
animals,"['peeler', 'raccoon', 'spaceship', 'van', 'gorilla']",2
fruits,"['plum', 'apple', 'lychee', 'pear', 'ladle']",4
languages,"['accordion', 'hindi', 'turkish', 'xylophone', 'hebrew', 'arabic', 'paring knife']",4
languages,"['raccoon', 'fig', 'oboe', 'van']",0
fruits,"['bagpipe', 'cherry', 'persian', 'buffalo', 'date', 'leopard']",2
utensils,"['finnish', 'masher', 'peeler', 'bassoon']",2
vehicles,"['ferry', 'tram', 'banana', 'otter', 'meat tenderizer']",2
fruits,"['bagpipe', 'harp', 'rolling pin', 'skimmer']",0
musical instruments,"['banjo', 'arabic', 'trumpet', 'kiwi']",2
fruits,"['grape', 'kiwi', 'bus', 'pear', 'plum']",4
animals,"['spaceship', 'tram', 'bagpipe', 'spatula', 'chameleon']",1
utensils,"['alpaca', 'truck', 'koala', 'peeler', 'penguin', 'measuring cup', 'zester']",3
utensils,"['fig', 'grape', 'didgeridoo', 'clarinet']",0
fruits,"['bagpipe', 'greek', 'mango', 'trumpet', 'ambulance']",1
vehicles,"['ferry', 'bassoon', 'tram', 'kangaroo', 'kiwi', 'bulldozer', 'arabic']",3
utensils,"['bengali', 'zester', 'plum', 'motorcycle', 'whisk']",2
musical instruments,"['cherry', 'didgeridoo', 'swahili', 'tongs', 'trombone', 'piccolo', 'bassoon', 'colander']",4
languages,"['giraffe', 'peach', 'norwegian', 'cherry', 'motorcycle', 'thai', 'swahili']",3
vehicles,"['yoruba', 'jeep', 'rambutan', 'vietnamese', 'bus', 'apple']",2
animals,"['yoruba', 'pomegranate', 'arabic', 'apricot']",0
vehicles,"['kangaroo', 'elephant', 'sitar', 'guava']",0
languages,"['jeep', 'kangaroo', 'mandarin', 'vietnamese', 'ambulance']",2
languages,"['plum', 'turkish', 'grater', 'spatula', 'hindi']",2
fruits,"['hindi', 'banjo', 'turkish', 'didgeridoo']",0
utensils,"['lychee', 'bassoon', 'zester', 'spatula', 'peach']",2
fruits,"['yoruba', 'spaceship', 'swahili', 'gorilla']",0
utensils,"['guava', 'tongs', 'gorilla', 'alpaca']",1
vehicles,"['tram', 'jaguar', 'ferry', 'cleaver', 'hyena']",2
languages,"['violin', 'mandolin', 'bengali', 'kangaroo', 'hungarian']",2
vehicles,"['minivan', 'rambutan', 'truck', 'hungarian', 'piccolo', 'trolley', 'rolling pin', 'sedan']",4
vehicles,"['motorcycle', 'sitar', 'subway', 'clarinet', 'ferry', 'lute', 'banana']",3
animals,"['jaguar', 'dolphin', 'gondola', 'tuba', 'leopard', 'piccolo']",3
languages,"['van', 'panther', 'hebrew', 'hungarian', 'swahili', 'lute']",3
languages,"['elephant', 'greek', 'bagpipe', 'apple', 'mandoline']",1
animals,"['apple', 'banana', 'xylophone', 'peeler']",0
languages,"['truck', 'mandolin', 'piccolo', 'trolley']",0
vehicles,"['turkish', 'paring knife', 'tongs', 'mango', 'bus']",1
fruits,"['tongs', 'convertible', 'elephant', 'persian']",0
vehicles,"['finnish', 'mandoline', 'thai', 'ladle']",0
fruits,"['plum', 'apple', 'gorilla', 'koala', 'greek']",2
musical instruments,"['meat tenderizer', 'trumpet', 'tongs', 'bulldozer', 'melon']",1
languages,"['peeler', 'spatula', 'skimmer', 'persian', 'convertible']",1
musical instruments,"['bus', 'lute', 'sitar', 'oboe', 'bassoon']",4
utensils,"['raccoon', 'masher', 'jeep', 'minivan', 'measuring cup']",2
languages,"['panther', 'ladle', 'mandolin', 'whisk']",0
animals,"['van', 'mandolin', 'masher', 'tram']",0
fruits,"['scooter', 'harp', 'peach', 'masher', 'fig', 'slotted spoon']",2
vehicles,"['tongs', 'minivan', 'ferry', 'persimmon', 'motorcycle', 'van']",4
musical instruments,"['cherry', 'penguin', 'trumpet', 'kangaroo']",1
animals,"['alpaca', 'lion', 'strainer', 'gorilla', 'kangaroo']",4
utensils,"['thai', 'cleaver', 'skimmer', 'masher', 'trumpet', 'norwegian', 'grater']",4
utensils,"['banana', 'zester', 'spatula', 'ladle', 'meat tenderizer']",4
animals,"['yoruba', 'van', 'sedan', 'plum']",0
fruits,"['measuring cup', 'peach', 'trolley', 'dolphin', 'swahili']",1
animals,"['sloth', 'papaya', 'badger', 'meat tenderizer', 'vietnamese', 'lion']",3
animals,"['convertible', 'whisk', 'gorilla', 'swahili', 'bus']",1
vehicles,"['van', 'sedan', 'xylophone', 'jeep']",3
musical instruments,"['rice paddle', 'guava', 'bulldozer', 'tambourine', 'bus']",1
musical instruments,"['xylophone', 'mandolin', 'marimba', 'trumpet']",4
utensils,"['guava', 'greek', 'kiwi', 'apple']",0
languages,"['korean', 'punjabi', 'hindi', 'didgeridoo', 'sitar', 'colander', 'vietnamese']",4
vehicles,"['spaceship', 'gondola', 'strainer', 'apricot', 'paring knife', 'greek', 'convertible', 'motorcycle']",4
animals,"['trumpet', 'greek', 'date', 'sloth']",1
utensils,"['papaya', 'xylophone', 'skimmer', 'measuring cup', 'masher', 'zester']",4
musical instruments,"['ambulance', 'vietnamese', 'marimba', 'clarinet']",2
musical instruments,"['piccolo', 'motorcycle', 'clarinet', 'bus', 'accordion']",3
languages,"['yoruba', 'hungarian', 'tagalog', 'whisk', 'arabic']",4
fruits,"['walrus', 'grater', 'van', 'thai', 'orange']",1
fruits,"['pomegranate', 'paring knife', 'hindi', 'grape', 'peach', 'trolley', 'cello']",3
vehicles,"['truck', 'hyena', 'kangaroo', 'jaguar']",1
languages,"['plum', 'giraffe', 'korean', 'swahili', 'tagalog', 'punjabi']",4
utensils,"['spaceship', 'thai', 'subway', 'plum']",0
utensils,"['melon', 'subway', 'bagpipe', 'xylophone']",0
fruits,"['truck', 'lychee', 'orange', 'tram']",2
animals,"['penguin', 'raccoon', 'norwegian', 'xylophone', 'grape', 'leopard']",3
vehicles,"['kangaroo', 'leopard', 'date', 'lute', 'jeep']",1
animals,"['gondola', 'mango', 'giraffe', 'alpaca', 'measuring cup', 'scooter']",2
animals,"['finnish', 'gondola', 'turkish', 'giraffe', 'zester']",1
languages,"['czech', 'walrus', 'greek', 'grater']",2
utensils,"['didgeridoo', 'marimba', 'cleaver', 'tongs', 'ferry', 'measuring cup', 'apple', 'spatula']",4
animals,"['alpaca', 'chameleon', 'cleaver', 'hungarian', 'piccolo', 'oboe']",2
fruits,"['koala', 'orange', 'cleaver', 'pear', 'bengali', 'meat tenderizer']",2
vehicles,"['trumpet', 'sloth', 'pear', 'gondola', 'apple']",1
musical instruments,"['orange', 'koala', 'spaceship', 'truck']",0
fruits,"['banana', 'rolling pin', 'bagpipe', 'rambutan', 'didgeridoo']",2
musical instruments,"['strainer', 'ladle', 'colander', 'cello', 'didgeridoo', 'oboe']",3
musical instruments,"['meat tenderizer', 'korean', 'trolley', 'jaguar']",0
animals,"['masher', 'scooter', 'oboe', 'giraffe', 'grater', 'penguin']",2
utensils,"['minivan', 'colander', 'rolling pin', 'grape', 'grater', 'harp']",3
fruits,"['alpaca', 'strainer', 'mango', 'spatula']",1
utensils,"['tagalog', 'vietnamese', 'ladle', 'spatula', 'clarinet', 'peach']",2
languages,"['maori', 'swahili', 'slotted spoon', 'bassoon', 'gondola', 'elephant']",2
vehicles,"['penguin', 'banjo', 'sedan', 'jeep', 'ferry']",3
animals,"['hindi', 'fig', 'truck', 'didgeridoo']",0
vehicles,"['bus', 'rambutan', 'mango', 'buffalo', 'meat tenderizer']",1
utensils,"['swahili', 'masher', 'penguin', 'rolling pin', 'baster']",3
musical instruments,"['tagalog', 'mandoline', 'punjabi', 'gorilla']",0
animals,"['accordion', 'giraffe', 'xylophone', 'sedan', 'tram']",1
utensils,"['oboe', 'sitar', 'ambulance', 'maori']",0
musical instruments,"['marimba', 'badger', 'czech', 'truck', 'piccolo', 'mango']",2
utensils,"['kiwi', 'raccoon', 'walrus', 'skimmer']",1
fruits,"['norwegian', 'grape', 'apple', 'oboe', 'papaya', 'penguin', 'orange', 'kangaroo']",4
utensils,"['convertible', 'spatula', 'banana', 'baster']",2
musical instruments,"['bassoon', 'lute', 'lion', 'punjabi', 'violin', 'oboe']",4
languages,"['spaceship', 'persimmon', 'punjabi', 'vietnamese']",2
utensils,"['kangaroo', 'jeep', 'didgeridoo', 'finnish']",0
animals,"['kiwi', 'penguin', 'truck', 'peach', 'bassoon', 'otter']",2
musical instruments,"['lion', 'bulldozer', 'slotted spoon', 'apricot']",0
languages,"['hungarian', 'hebrew', 'yoruba', 'zester']",3
languages,"['subway', 'greek', 'pear', 'hebrew', 'bengali', 'skimmer', 'otter']",3
fruits,"['pomegranate', 'pear', 'marimba', 'peach', 'plum', 'ladle', 'cleaver']",4
languages,"['convertible', 'bicycle', 'trolley', 'tuba']",0
utensils,"['apricot', 'peeler', 'papaya', 'lute', 'pomegranate']",1
vehicles,"['grape', 'apricot', 'cleaver', 'norwegian']",0
musical instruments,"['giraffe', 'leopard', 'slotted spoon', 'convertible']",0
fruits,"['rambutan', 'pomegranate', 'plum', 'date']",4
fruits,"['lute', 'sedan', 'ambulance', 'tambourine', 'pomegranate']",1
utensils,"['colander', 'skimmer', 'tambourine', 'masher', 'rolling pin']",4
fruits,"['papaya', 'badger', 'finnish', 'tagalog']",1
fruits,"['maori', 'marimba', 'tagalog', 'cello']",0
fruits,"['spatula', 'peach', 'tuba', 'lychee', 'hebrew']",2
utensils,"['czech', 'didgeridoo', 'swahili', 'bagpipe']",0
languages,"['gorilla', 'jaguar', 'lute', 'harp']",0
utensils,"['skimmer', 'clarinet', 'bicycle', 'ladle', 'subway', 'rolling pin']",3
animals,"['koala', 'czech', 'spatula', 'trumpet', 'mandolin', 'walrus', 'leopard']",3
fruits,"['kiwi', 'dolphin', 'punjabi', 'ferry', 'strainer']",1
musical instruments,"['pomegranate', 'motorcycle', 'panther', 'hindi', 'trombone', 'tambourine']",2
vehicles,"['trolley', 'minivan', 'oboe', 'motorcycle']",3
vehicles,"['sitar', 'hyena', 'rolling pin', 'hebrew']",0
musical instruments,"['bengali', 'lychee', 'turkish', 'norwegian']",0
fruits,"['pomegranate', 'paring knife', 'otter', 'papaya', 'banana', 'rambutan']",4
animals,"['bagpipe', 'buffalo', 'gorilla', 'arabic', 'plum', 'kangaroo', 'paring knife']",3
utensils,"['skimmer', 'rolling pin', 'colander', 'slotted spoon', 'persimmon']",4
musical instruments,"['thai', 'lute', 'greek', 'accordion']",2
utensils,"['ambulance', 'thai', 'tagalog', 'rambutan']",0
fruits,"['trolley', 'strainer', 'slotted spoon', 'bagpipe']",0
musical instruments,"['scooter', 'hyena', 'rolling pin', 'badger']",0
vehicles,"['scooter', 'papaya', 'van', 'motorcycle', 'cello', 'punjabi']",3
utensils,"['scooter', 'rolling pin', 'skimmer', 'colander', 'yoruba', 'mandoline']",4
fruits,"['alpaca', 'sloth', 'slotted spoon', 'pear']",1
musical instruments,"['trumpet', 'xylophone', 'mandolin', 'marimba', 'hungarian']",4
vehicles,"['penguin', 'elephant', 'trombone', 'accordion']",0
utensils,"['strainer', 'maori', 'baster', 'xylophone', 'rolling pin', 'swahili', 'cleaver', 'mango']",4
animals,"['koala', 'chameleon', 'mandarin', 'alpaca']",3
animals,"['fig', 'gorilla', 'tambourine', 'cherry']",1
utensils,"['rice paddle', 'mandoline', 'meat tenderizer', 'rolling pin']",4
languages,"['hebrew', 'thai', 'xylophone', 'banana', 'peeler', 'hungarian']",3
musical instruments,"['colander', 'harp', 'measuring cup', 'kangaroo']",1
languages,"['rice paddle', 'koala', 'trumpet', 'swahili', 'leopard']",1
fruits,"['gondola', 'chameleon', 'motorcycle', 'punjabi']",0
animals,"['alpaca', 'buffalo', 'ferry', 'meat tenderizer', 'turkish']",2
musical instruments,"['piccolo', 'bassoon', 'lute', 'truck', 'lychee', 'greek', 'persimmon']",3
vehicles,"['tram', 'bus', 'truck', 'oboe']",3
musical instruments,"['peeler', 'tambourine', 'lute', 'harp', 'yoruba', 'scooter']",3
musical instruments,"['clarinet', 'otter', 'cleaver', 'czech']",1
vehicles,"['convertible', 'bus', 'paring knife', 'melon', 'sitar', 'bicycle']",3
utensils,"['trolley', 'oboe', 'van', 'swahili']",0
languages,"['mandarin', 'hebrew', 'bassoon', 'cherry', 'punjabi']",3
languages,"['tram', 'czech', 'rambutan', 'subway']",1
utensils,"['peeler', 'colander', 'baster', 'truck', 'jeep', 'grater']",4
utensils,"['baster', 'bassoon', 'hungarian', 'turkish']",1
fruits,"['finnish', 'didgeridoo', 'peeler', 'baster']",0
utensils,"['accordion', 'slotted spoon', 'grater', 'cello']",2
languages,"['tambourine', 'hyena', 'cherry', 'spatula']",0
languages,"['grater', 'harp', 'finnish', 'meat tenderizer']",1
fruits,"['oboe', 'accordion', 'orange', 'bassoon', 'dolphin']",1
musical instruments,"['bassoon', 'giraffe', 'masher', 'finnish']",1
fruits,"['bassoon', 'persimmon', 'bus', 'thai']",1
musical instruments,"['tram', 'oboe', 'van', 'elephant']",1
animals,"['slotted spoon', 'tram', 'badger', 'panther']",2
musical instruments,"['motorcycle', 'bulldozer', 'spaceship', 'clarinet', 'sitar', 'tagalog']",2
utensils,"['buffalo', 'truck', 'strainer', 'skimmer']",2
utensils,"['paring knife', 'minivan', 'giraffe', 'mandolin']",1
vehicles,"['van', 'hyena', 'bulldozer', 'harp']",2
musical instruments,"['finnish', 'pear', 'plum', 'lute']",1
utensils,"['kangaroo', 'bassoon', 'otter', 'grater', 'spatula', 'strainer', 'colander']",4
musical instruments,"['pear', 'sitar', 'melon', 'turkish', 'paring knife']",1
fruits,"['plum', 'clarinet', 'peach', 'mango', 'cello', 'grape']",4
musical instruments,"['hyena', 'hindi', 'clarinet', 'gorilla', 'strainer', 'violin', 'trombone']",3
fruits,"['thai', 'dolphin', 'trombone', 'plum', 'lychee', 'mango']",3
languages,"['alpaca', 'bus', 'sloth', 'lute', 'hebrew']",1
animals,"['fig', 'badger', 'grape', 'marimba']",1
musical instruments,"['ferry', 'tambourine', 'piccolo', 'banjo', 'accordion', 'punjabi']",4
animals,"['fig', 'alpaca', 'marimba', 'gondola', 'arabic']",1
animals,"['bus', 'spaceship', 'plum', 'piccolo']",0
musical instruments,"['mandoline', 'walrus', 'tuba', 'swahili']",1
fruits,"['kangaroo', 'grape', 'norwegian', 'date']",2
musical instruments,"['pear', 'sitar', 'banjo', 'mango', 'zester', 'violin', 'hungarian']",3
musical instruments,"['swahili', 'apple', 'penguin', 'bassoon']",1
fruits,"['badger', 'lychee', 'thai', 'korean']",1
languages,"['oboe', 'sloth', 'sitar', 'hyena']",0
fruits,"['apricot', 'pomegranate', 'bulldozer', 'persimmon', 'peach']",4
languages,"['bengali', 'leopard', 'koala', 'greek', 'bulldozer']",2
languages,"['banjo', 'persian', 'mango', 'baster', 'convertible']",1
vehicles,"['baster', 'raccoon', 'banana', 'gondola', 'thai']",1
utensils,"['ferry', 'bicycle', 'panther', 'peeler', 'koala', 'masher']",2
fruits,"['czech', 'alpaca', 'orange', 'mandarin', 'penguin', 'guava', 'plum']",3
musical instruments,"['cherry', 'baster', 'hindi', 'lychee']",0
fruits,"['plum', 'yoruba', 'papaya', 'trolley']",2
vehicles,"['whisk', 'banana', 'finnish', 'cello']",0
musical instruments,"['cello', 'accordion', 'clarinet', 'raccoon']",3
animals,"['spatula', 'trolley', 'scooter', 'persimmon']",0
animals,"['alpaca', 'fig', 'sloth', 'ferry', 'ladle', 'dolphin']",3
languages,"['bulldozer', 'sedan', 'apple', 'sloth']",0
animals,"['marimba', 'accordion', 'scooter', 'xylophone']",0
utensils,"['whisk', 'rice paddle', 'apple', 'yoruba', 'gondola', 'peeler', 'masher']",4
utensils,"['papaya', 'cleaver', 'masher', 'spatula']",3
animals,"['giraffe', 'walrus', 'whisk', 'subway', 'strainer', 'zester']",2
musical instruments,"['bulldozer', 'finnish', 'punjabi', 'peach']",0
musical instruments,"['subway', 'measuring cup', 'xylophone', 'clarinet', 'mandolin']",3
languages,"['mandarin', 'greek', 'ambulance', 'bengali', 'xylophone', 'thai']",4
languages,"['marimba', 'peach', 'vietnamese', 'sedan']",1
vehicles,"['subway', 'tram', 'lion', 'rolling pin']",2
utensils,"['accordion', 'yoruba', 'strainer', 'orange', 'walrus']",1
vehicles,"['lion', 'motorcycle', 'gondola', 'swahili', 'bengali', 'ambulance', 'sedan', 'cherry']",4
musical instruments,"['banjo', 'turkish', 'czech', 'spaceship', 'harp', 'clarinet']",3
musical instruments,"['persimmon', 'lychee', 'penguin', 'melon']",0
utensils,"['convertible', 'hindi', 'sitar', 'apple']",0
languages,"['harp', 'spatula', 'tambourine', 'otter']",0
languages,"['mandolin', 'oboe', 'korean', 'hungarian']",2
animals,"['vietnamese', 'gorilla', 'koala', 'ambulance', 'sloth', 'convertible', 'walrus']",4
fruits,"['hindi', 'kiwi', 'bulldozer', 'pear', 'melon', 'persimmon', 'badger']",4
utensils,"['skimmer', 'panther', 'baster', 'hindi', 'lychee', 'arabic']",2
animals,"['yoruba', 'ambulance', 'hyena', 'giraffe', 'kangaroo']",3
animals,"['lion', 'colander', 'pear', 'kangaroo', 'giraffe', 'walrus', 'mandoline']",4
fruits,"['measuring cup', 'greek', 'spaceship', 'violin']",0
languages,"['hebrew', 'sloth', 'tambourine', 'slotted spoon']",1
languages,"['mandarin', 'korean', 'punjabi', 'persian']",4
languages,"['swahili', 'lychee', 'banana', 'yoruba', 'harp', 'thai', 'tagalog']",4
animals,"['apple', 'mandolin', 'alpaca', 'strainer']",1
animals,"['trolley', 'elephant', 'lion', 'leopard', 'giraffe']",4
vehicles,"['oboe', 'hyena', 'arabic', 'banana']",0
musical instruments,"['measuring cup', 'hungarian', 'accordion', 'piccolo', 'panther', 'greek', 'trombone']",3
vehicles,"['scooter', 'subway', 'tongs', 'date', 'motorcycle', 'bulldozer', 'turkish', 'meat tenderizer']",4
fruits,"['tagalog', 'kiwi', 'lychee', 'date']",3
utensils,"['meat tenderizer', 'colander', 'baster', 'rolling pin', 'sloth']",4
utensils,"['persian', 'strainer', 'orange', 'truck', 'vietnamese']",1
musical instruments,"['bagpipe', 'maori', 'trombone', 'marimba', 'cello', 'apple', 'thai']",4
utensils,"['grater', 'fig', 'banjo', 'mango', 'skimmer']",2
animals,"['trolley', 'yoruba', 'alpaca', 'jaguar', 'walrus']",3
fruits,"['papaya', 'lychee', 'orange', 'piccolo', 'date']",4
utensils,"['bulldozer', 'cleaver', 'ambulance', 'greek', 'finnish']",1
utensils,"['colander', 'slotted spoon', 'masher', 'maori', 'tagalog']",3
languages,"['greek', 'subway', 'sloth', 'mango', 'peach', 'maori']",2
musical instruments,"['giraffe', 'strainer', 'marimba', 'turkish', 'raccoon']",1
animals,"['rambutan', 'apple', 'giraffe', 'lychee', 'czech', 'walrus', 'penguin']",3
languages,"['apricot', 'tram', 'cello', 'peach']",0
utensils,"['marimba', 'motorcycle', 'whisk', 'measuring cup', 'dolphin', 'harp', 'rolling pin', 'colander']",4
musical instruments,"['motorcycle', 'bassoon', 'pear', 'piccolo', 'didgeridoo', 'baster']",3
vehicles,"['zester', 'papaya', 'didgeridoo', 'lute']",0
languages,"['grape', 'trombone', 'van', 'hungarian', 'czech']",2
utensils,"['mandarin', 'finnish', 'elephant', 'rice paddle']",1
languages,"['kiwi', 'trombone', 'tagalog', 'measuring cup', 'jaguar', 'arabic']",2
vehicles,"['cherry', 'minivan', 'motorcycle', 'otter']",2
vehicles,"['swahili', 'mandarin', 'koala', 'banjo']",0
languages,"['motorcycle', 'chameleon', 'hyena', 'persimmon']",0
languages,"['greek', 'hebrew', 'thai', 'bengali']",4
languages,"['convertible', 'ambulance', 'sitar', 'czech']",1
animals,"['mandolin', 'mandoline', 'rambutan', 'gorilla', 'harp', 'raccoon']",2
utensils,"['hyena', 'jeep', 'cherry', 'grater', 'ladle', 'peeler', 'tongs', 'xylophone']",4
languages,"['hebrew', 'mandarin', 'otter', 'ferry', 'hungarian', 'norwegian']",4
fruits,"['meat tenderizer', 'cherry', 'arabic', 'tambourine', 'sloth']",1
animals,"['grater', 'kangaroo', 'leopard', 'gorilla']",3
vehicles,"['gorilla', 'truck', 'lychee', 'hyena', 'sedan']",2
vehicles,"['yoruba', 'trolley', 'accordion', 'sedan']",2
musical instruments,"['trumpet', 'baster', 'oboe', 'apricot', 'spaceship', 'colander']",2
languages,"['bulldozer', 'czech', 'didgeridoo', 'trombone', 'bicycle', 'hindi', 'hungarian']",3
musical instruments,"['bus', 'peeler', 'sloth', 'persimmon']",0
musical instruments,"['lute', 'accordion', 'xylophone', 'trumpet', 'rambutan', 'hyena']",4
animals,"['swahili', 'ferry', 'bassoon', 'czech']",0
vehicles,"['van', 'walrus', 'buffalo', 'cello']",1
utensils,"['swahili', 'accordion', 'kangaroo', 'turkish']",0
fruits,"['spatula', 'bassoon', 'persian', 'lion']",0
languages,"['bus', 'colander', 'yoruba', 'hungarian', 'jeep', 'scooter']",2
utensils,"['sitar', 'oboe', 'rolling pin', 'persian']",1
languages,"['swahili', 'turkish', 'czech', 'grater']",3
languages,"['didgeridoo', 'van', 'grape', 'xylophone']",0
vehicles,"['kangaroo', 'raccoon', 'jeep', 'motorcycle', 'turkish', 'hyena', 'spaceship', 'truck']",4
languages,"['vietnamese', 'guava', 'greek', 'grape', 'lion', 'bus', 'hungarian', 'tagalog']",4
vehicles,"['sedan', 'ambulance', 'trolley', 'greek', 'vietnamese', 'jeep', 'measuring cup']",4
vehicles,"['scooter', 'hungarian', 'truck', 'bicycle', 'bulldozer']",4
animals,"['czech', 'scooter', 'grape', 'colander', 'dolphin']",1
animals,"['kangaroo', 'didgeridoo', 'elephant', 'penguin', 'marimba']",3
animals,"['guava', 'koala', 'clarinet', 'otter', 'orange']",2
utensils,"['punjabi', 'rice paddle', 'turkish', 'masher', 'apricot']",2
utensils,"['skimmer', 'maori', 'lion', 'bicycle', 'koala']",1
fruits,"['plum', 'grape', 'banjo', 'bassoon', 'pear', 'maori', 'fig', 'measuring cup']",4
languages,"['raccoon', 'trolley', 'hebrew', 'minivan']",1
